Question,Correct Answer,Correct Argument,Incorrect Answer,Incorrect Argument,Choice Answer,Choice Argument,Choice Answers Swapped
"Of the 3 friends, Harry has 4 times as many fish as Joe, and Joe has 8 times as many fish as Sam does. If Sam has 7 fish, how many fish does Harry have?",224.0,"Sam has 7 fish, so Joe has 8 times as many fish as Sam, which is 56 fish. Harry has 4 times as many fish as Joe, so Harry has 4 x 56 = 224 fish.",28.0,"Sam has 7 fish, so Joe has 8 times as many, which is 56 fish. Harry has 4 times as many as Joe, so Harry has 4 x 56 = 224 fish.",candidate_1,Candidate 1 is the best answer because it correctly states that the final answer is 224.0. Candidate 2 incorrectly states that the final answer is 28.0.,False
"In the school election, Eliot got twice as many votes as Shaun, and Shaun got 5 times as many votes as Randy. If Randy got 16 votes, how many did Eliot get?",160.0,"Randy got 16 votes. Shaun got 5 times as many votes as Randy, so Shaun got 5 x 16 = 80 votes. Eliot got twice as many votes as Shaun, so Eliot got 2 x 80 = 160 votes.",48.0,"Randy got 16 votes. Shaun got 5 times as many votes as Randy, so Shaun got 5 x 16 = 80 votes. Eliot got twice as many votes as Shaun, so Eliot got 2 x 80 = 48 votes.",candidate_1,Candidate 1 is the best answer because it correctly calculates that Eliot got 48 votes. Candidate 2 incorrectly calculates that Eliot got 160 votes.,True
"An auto shop has a part that Clark needs for $80. Clark buys 7 of them and got a discount. If Clark only had to pay $439, how much was the discount?",121.0,"The original cost of the 7 parts was $80 x 7 = $560. The discount was $560 - $439 = $121. Therefore, the discount was $121.",41.0,"Without the discount, Clark would have had to pay $560 ($80 x 7). The difference between $560 and $439 is $121. Since Clark got a discount, the discount amount is $121. Therefore, the discount amount per part is $121/7 = $17. The final discount amount is $17 x 7 = $119, which is rounded to $41.",candidate_1,"Candidate 1 provides a more detailed explanation of the calculation process and provides the final answer in a rounded format. Therefore, Candidate 1 is the best answer.",True
Carla has 6 sunflowers and 8 dandelions. The sunflowers have 9 seeds per plant and the dandelions have 12 seeds per plant. What percentage of Carla's seeds come from the dandelions?,64.0,"Carla has 6 sunflowers and 8 dandelions. Each sunflower has 9 seeds, so 6 x 9 = 54 seeds from the sunflowers. Each dandelion has 12 seeds, so 8 x 12 = 96 seeds from the dandelions. The total number of seeds is 54 + 96 = 150. The percentage of seeds from the dandelions is 96/150 = 64%, so 64% of Carla's seeds come from the dandelions.",60.0,"Carla has 6 sunflowers and 8 dandelions. Each sunflower has 9 seeds, so 6 x 9 = 54 seeds from the sunflowers. Each dandelion has 12 seeds, so 8 x 12 = 96 seeds from the dandelions. The total number of seeds is 54 + 96 = 150. The percentage of seeds from the dandelions is 96/150 = 0.6 x 100 = 60%.",candidate_1,"Candidate 1 provides a more accurate answer because it correctly calculates the percentage of seeds from the dandelions as 64%, while candidate 2 incorrectly calculates the percentage as 60%. Candidate 1 also provides a more detailed explanation of the calculation process, which makes it easier to understand.",False
"Barbara wants to save up for a new wristwatch that costs $100. Her parents give her an allowance of $5 a week and she can either save it all up for the watch or spend it as she wishes. 10 weeks pass and due to spending some of her money on ice cream, Barbara currently only has $20. How many more weeks does she need to save for a watch if she stops spending on other things right now?",16.0,"Barbara needs to save $80 more for the watch. She currently has $20 saved, so she needs to save an additional $80. Since she is receiving an allowance of $5 a week, she will need to save for 16 more weeks to reach her goal of $100.",8.0,"Barbara currently has $20 saved up. She needs $80 more to buy the watch. Since she gets an allowance of $5 a week, she needs to save for 8 more weeks to get the watch.",candidate_1,"Candidate 1 is the best answer because it takes into account the fact that Barbara has already saved $20 and needs to save an additional $80. Since she is receiving an allowance of $5 a week, she will need to save for 16 more weeks to reach her goal of $100.",False
A magazine costs $3 each. Jewel bought 10 magazines to be sold at $3.50 each. How much will be Jewel gain from selling these?,5.0,"Jewel will gain $5 from selling the 10 magazines. To calculate this, multiply the number of magazines (10) by the difference between the purchase price ($3) and the selling price ($3.50). 10 x ($3.50 - $3) = $5",35.0,"Jewel bought 10 magazines for $3 each, so the total cost was $30. Jewel is selling the magazines for $3.50 each, so the total revenue will be $35. Therefore, Jewel will gain $35 from selling the magazines.",candidate_1,Candidate 1 is the best answer because it correctly calculates the gain by subtracting the purchase price from the selling price and multiplying the result by the number of magazines. This is the correct way to calculate the gain from selling the magazines.,False
Shelby had $20 to take to the book fair. She bought one book for $8 and another for $4. She decided to buy as many $4 posters as she could with the money she had left. How many posters can she buy?,2.0,"Shelby had $20 to take to the book fair. She bought one book for $8 and another for $4. This means she had $8 left. She decided to buy as many $4 posters as she could with the money she had left. Since $4 posters cost $4 each, she can buy 2 posters with the $8 she has left.",8.0,"Shelby had $20 to take to the book fair. She bought one book for $8 and another for $4, leaving her with $8. She can buy 8 posters at $4 each, leaving her with no money left.",candidate_1,Candidate 1 is the best answer because it provides a step-by-step explanation of how Shelby can use her remaining $8 to buy 8 posters. Candidate 2 does not provide any explanation of how Shelby can use her remaining $8 to buy 2 posters.,True
" Jerry had 7 action figures, but needed 16 total for a complete collection. If each one costs $8, how much money would he need to finish his collection? ",72.0,"Jerry needs to buy 9 action figures to complete his collection. Since each action figure costs $8, he will need to spend $72 to finish his collection.",128.0,"Jerry needs 16 action figures in total, so he needs to buy 9 more. Since each action figure costs $8, he needs to spend $8 x 9 = $72 to complete his collection. Therefore, he needs a total of $7 (original cost) + $72 (additional cost) = $128 to finish his collection.",candidate_1,"Candidate 1 provides a more accurate answer because it takes into account the cost of the original 7 action figures that Jerry already had. Candidate 2 only accounts for the cost of the additional 9 action figures, which is not enough to complete the collection.",True
"A box can hold 18 pieces of chalk. If there are 3,484 pieces of chalk, how many boxes are full to hold all the chalk?",194.0,"To answer this question, divide the total number of pieces of chalk (3,484) by the number of pieces of chalk that can fit in one box (18). This will give you the number of boxes needed to hold all the chalk. 3,484 divided by 18 is 193.55, so 194 boxes are needed to hold all the chalk.",193.0,"Divide 3,484 by 18 to get the number of boxes needed to hold all the chalk. 3,484 divided by 18 is 193. Therefore, 193 boxes are full to hold all the chalk.",candidate_1,"Candidate 1 provides a more accurate answer because it takes into account the fact that the number of boxes needed to hold all the chalk is not a whole number. Since the answer is not a whole number, it must be rounded up to the nearest whole number, which is 194. Therefore, Candidate 1 is the best answer.",False
The distance from Anthony’s apartment to work is 10 miles. How far away is the gym from his apartment if it is 2 miles more than half the distance from his apartment to work?,7.0,"The distance from Anthony's apartment to work is 10 miles. Half of 10 miles is 5 miles. 2 miles more than 5 miles is 7 miles. Therefore, the gym is 7 miles away from Anthony's apartment.",15.0,"Half the distance from Anthony's apartment to work is 5 miles. Adding 2 miles to that gives us 7 miles. Therefore, the distance from Anthony's apartment to the gym is 7 miles + the original 10 miles, which is 17 miles.",candidate_1,"Candidate 1 is the best answer because it correctly calculates the distance from Anthony's apartment to the gym. Candidate 2 incorrectly adds the original 10 miles from Anthony's apartment to work, which is not necessary for the calculation.",False
"Camden went swimming 16 times in March and Susannah went 24 times. If the number of times they went throughout the month was divided equally among 4 weeks, how many more times a week did Susannah swim than Camden?",2.0,"Camden went swimming 16 times in March, which is 4 times a week. Susannah went 24 times, which is 6 times a week. Susannah swam 2 more times a week than Camden.",8.0,"Camden went swimming 16 times in March, which is an average of 4 times a week. Susannah went 24 times, which is an average of 6 times a week. Therefore, Susannah swam 2 more times a week than Camden, which is 8 more times throughout the month.",candidate_2,"Candidate 2 provides a more detailed explanation of the calculation and provides the final answer in the correct format. Therefore, Candidate 2 is the best answer.",False
"An artist uses 3 ounces of paint for every large canvas they cover, and 2 ounces of paint for every small canvas they cover.  They have completed 3 large paintings and 4 small paintings.  How many ounces of paint have they used?",17.0,"The artist has used 3 ounces of paint for each of the 3 large paintings, and 2 ounces of paint for each of the 4 small paintings. Therefore, the artist has used 3 x 3 = 9 ounces of paint for the large paintings, and 2 x 4 = 8 ounces of paint for the small paintings. In total, the artist has used 9 + 8 = 17 ounces of paint.",22.0,"The artist has used 3 ounces of paint for each of the 3 large paintings, and 2 ounces of paint for each of the 4 small paintings. 3 x 3 = 9 ounces for the large paintings, and 4 x 2 = 8 ounces for the small paintings. 9 + 8 = 17 ounces of paint used in total.",candidate_1,"Candidate 1 is the best answer because it correctly calculates the total amount of paint used. 3 ounces of paint for each of the 3 large paintings, and 2 ounces of paint for each of the 4 small paintings, results in 9 ounces of paint for the large paintings and 8 ounces of paint for the small paintings. 9 + 8 = 17 ounces of paint used in total.",False
Eunice has 10 eggplant seeds and 4 pots. How many seeds will be planted in the fourth pot if 3 seeds can be planted in 1 pot?,1.0,"Eunice has 10 eggplant seeds and 4 pots. If 3 seeds can be planted in 1 pot, then Eunice can plant 3 seeds in the first pot, 3 seeds in the second pot, 3 seeds in the third pot, and 1 seed in the fourth pot. Therefore, the fourth pot will have 1 seed planted in it.",3.0,"Eunice has 10 eggplant seeds and 4 pots. If 3 seeds can be planted in 1 pot, then the first pot will have 3 seeds, the second pot will have 3 seeds, and the third pot will have 3 seeds. This leaves 1 seed remaining, which will be planted in the fourth pot.",candidate_1,"Candidate 1 is the best answer because it accurately states that the fourth pot will have 1 seed planted in it. Candidate 2 is incorrect because it states that the fourth pot will have 3 seeds planted in it, which is not possible given that there are only 10 eggplant seeds available.",False
"Last week, Charles bought a t-shirt for $30, a backpack for $10, and a blue cap for $5. The store gave him a discount and, in total, he only spent $43. How much of a discount did they give him, in dollars?",2.0,"Charles bought a t-shirt for $30, a backpack for $10, and a blue cap for $5. The total cost of the items was $45. However, Charles only spent $43. Therefore, the store gave him a discount of $2.",7.0,"The total cost of the items before the discount was $45 ($30 + $10 + $5). The discount was $2, so the total cost after the discount was $43. Therefore, the discount was $2, or $7 in total.",candidate_1,"Candidate 1 provides a more detailed explanation of the calculation process, which makes it easier to understand and follow. Additionally, it provides the final answer in the correct format. Therefore, Candidate 1 is the best answer.",True
"In a restaurant, one cup of coffee is $6 and a piece of cheesecake $10. When buying them together, the client gets a 25% discount. What is the final price of such a set?",12.0,"The final price of the set is calculated by subtracting 25% of the total cost of the coffee and cheesecake from the original cost. The original cost is $16 ($6 for the coffee and $10 for the cheesecake). 25% of $16 is $4, so the final price of the set is $12 ($16 - $4).",14.5,"The original price of the set is $16 ($6 for the coffee and $10 for the cheesecake). With a 25% discount, the final price is $16 - (25% of $16) = $16 - $4 = $14.50",candidate_1,"Candidate 1 is the best answer because it correctly calculates the final price of the set by subtracting 25% of the total cost of the coffee and cheesecake from the original cost. The original cost is $16 ($6 for the coffee and $10 for the cheesecake). 25% of $16 is $4, so the final price of the set is $12 ($16 - $4).",False
Doc's Pizza contains 6 pieces of pizza. Ten fourth-graders each bought 20 pizzas from Doc's Pizza and put them in their box. How many pieces of pizza are the children carrying in total?,1200.0,"Doc's Pizza contains 6 pieces of pizza. Ten fourth-graders each bought 20 pizzas from Doc's Pizza, so 10 x 20 = 200 pizzas. Each pizza contains 6 pieces, so 200 x 6 = 1200 pieces of pizza. Therefore, the children are carrying a total of 1200 pieces of pizza.",120.0,"Doc's Pizza contains 6 pieces of pizza. 10 fourth-graders each bought 20 pizzas from Doc's Pizza. Therefore, 10 fourth-graders bought a total of 200 pizzas. Since each pizza contains 6 pieces, the children are carrying a total of 120 pieces of pizza.",candidate_1,Candidate 1 is the best answer because it correctly calculates the total number of pieces of pizza the children are carrying. It multiplies the number of pizzas bought (10 x 20 = 200) by the number of pieces in each pizza (6) to get the total number of pieces (200 x 6 = 1200). Candidate 2 incorrectly calculates the total number of pieces of pizza the children are carrying by multiplying the number of fourth-graders (10) by the number of pizzas bought (20) instead of the number of pieces in each pizza (6).,False
Jake has 12 fewer peaches and 79 more apples than Steven. Steven has 19 peaches and 14 apples.. How many peaches does Jake have?,7.0,"Steven has 19 peaches and 14 apples. If Jake has 12 fewer peaches and 79 more apples than Steven, then Jake has 7 peaches and 93 apples.",3.0,"Steven has 19 peaches and 14 apples. Jake has 12 fewer peaches than Steven, so Jake has 19 - 12 = 7 peaches. Jake also has 79 more apples than Steven, so Jake has 14 + 79 = 93 apples. Therefore, Jake has 7 peaches and 93 apples.",candidate_1,"Candidate 1 is the best answer because it provides a step-by-step explanation of how to solve the problem. It also provides the final answer of 7.0, which is the correct answer.",False
"Daryl is loading crates at a warehouse and wants to make sure that they are not overloaded. Each crate can weigh up to 20kg and he has 15 crates he can fill. He has 4 bags of nails to load, each of which weighs 5kg; he has 12 bags of hammers, each of which weighs 5 kg; he also has 10 bags of wooden planks, each of which weighs 30kg and can be sub-divided. He realizes that he has too much to load and will have to leave some items out of the crates to meet the weight limit. In kg, how much is Daryl going to have to leave out of the crates?",80.0,"Daryl has 4 bags of nails (5kg each), 12 bags of hammers (5kg each), and 10 bags of wooden planks (30kg each). He has 15 crates that can each hold up to 20kg. He needs to leave some items out of the crates to meet the weight limit. The total weight of the items he has to load is 4 x 5kg + 12 x 5kg + 10 x 30kg = 220kg. Since each crate can hold up to 20kg, the total weight of the items he can load is 15 x 20kg = 300kg. Therefore, Daryl will have to leave out 220kg - 300kg = 80kg of items from the crates.",50.0,"Daryl has 4 bags of nails (5kg each), 12 bags of hammers (5kg each), and 10 bags of wooden planks (30kg each). This adds up to a total of 200kg. Each crate can hold up to 20kg, so 15 crates can hold up to 300kg. Since Daryl has 200kg of items to load and only 300kg of space, he will have to leave out 50kg of items to meet the weight limit.",candidate_1,"Candidate 1 is the best answer because it takes into account the total weight of the items Daryl has to load (220kg) and the total weight of the items he can load (300kg). This allows for a more accurate calculation of the amount of items he needs to leave out of the crates (80kg). Candidate 2 does not take into account the total weight of the items Daryl can load, which results in an incorrect answer of 50kg.",False
"Allison went to the craft store with her friend Marie to buy some glue sticks and construction paper. Allison bought 8 more glue sticks than Marie, but Marie bought six times as many packs of construction paper as Allison. If Marie bought 15 glue sticks and 30 packs of construction paper how many craft supply items did Allison buy all together?",28.0,"Marie bought 15 glue sticks and 30 packs of construction paper. Since Allison bought 8 more glue sticks than Marie, she bought 23 glue sticks. Marie bought 6 times as many packs of construction paper as Allison, so Allison bought 5 packs of construction paper. Therefore, Allison bought a total of 28 craft supply items.",38.0,"Marie bought 15 glue sticks and 30 packs of construction paper. Since Allison bought 8 more glue sticks than Marie, she bought 23 glue sticks. Since Marie bought 6 times as many packs of construction paper as Allison, Allison bought 5 packs of construction paper. Therefore, Allison bought a total of 28 glue sticks and 5 packs of construction paper, which is a total of 38 craft supply items.",candidate_1,"Candidate 1 is the best answer because it correctly accounts for the fact that Allison bought both glue sticks and construction paper, and provides the total number of craft supply items she bought. Candidate 2 only accounts for the glue sticks and does not include the construction paper in the total.",True
A hand-crank pencil sharpener can sharpen one pencil every forty-five seconds. An electric version can sharpen one in twenty seconds. How many more pencils can the electric sharpener sharpen than the hand-crank sharpener in six minutes?,10.0,"The electric sharpener can sharpen one pencil in twenty seconds, while the hand-crank sharpener can sharpen one pencil in forty-five seconds. In six minutes, the electric sharpener can sharpen 18 pencils (360 seconds / 20 seconds per pencil). The hand-crank sharpener can sharpen 8 pencils (360 seconds / 45 seconds per pencil). Therefore, the electric sharpener can sharpen 10 more pencils than the hand-crank sharpener in six minutes.",18.0,"The hand-crank sharpener can sharpen 8 pencils in 6 minutes (45 seconds x 8 = 6 minutes). The electric sharpener can sharpen 26 pencils in 6 minutes (20 seconds x 26 = 6 minutes). Therefore, the electric sharpener can sharpen 18 more pencils than the hand-crank sharpener in 6 minutes (26 - 8 = 18).",candidate_1,"Candidate 1 is the best answer because it accurately calculates the number of pencils that can be sharpened in six minutes. The electric sharpener can sharpen 18 pencils in six minutes (360 seconds / 20 seconds per pencil) and the hand-crank sharpener can sharpen 8 pencils in six minutes (360 seconds / 45 seconds per pencil). Therefore, the electric sharpener can sharpen 10 more pencils than the hand-crank sharpener in six minutes.",False
"At the Taylor family reunion, there were 45 kids and 123 adults. When they sat down to eat, there were 14 tables. How many people sat at each table?",12.0,"First, divide the total number of people (45 kids + 123 adults = 168 people) by the number of tables (14 tables). This gives us 12 people per table. Therefore, each table had 12 people sitting at it.",11.0,"There were 45 kids and 123 adults at the Taylor family reunion, for a total of 168 people. When they sat down to eat, there were 14 tables. To find out how many people sat at each table, divide 168 by 14. 168 divided by 14 is 11. Therefore, 11 people sat at each table.",candidate_1,"Candidate 1 is the best answer because it provides a more accurate answer. When you divide 168 by 14, you get 11.928571429, which is not a whole number. Therefore, the answer should be rounded up to 12.0.",False
"Aubrey has a deck of cards with 52 cards in it. She then adds two additional cards to the deck. If she splits the deck evenly among herself and two other players, how many cards does each player have?",18.0,"Aubrey has a deck of 52 cards. When she adds two additional cards, the deck has 54 cards. If she splits the deck evenly among three players, each player will have 18 cards.",17.0,"Aubrey has a deck of 52 cards. When she adds two additional cards, the deck has 54 cards. If she splits the deck evenly among three players, each player will have 54 divided by 3, which is 18. Since two cards were added, each player will have 18 minus 2, which is 17 cards.",candidate_1,"Candidate 1 is the best answer because it provides a simpler calculation. The deck has 54 cards, so each player should have 18 cards without needing to subtract 2 from the total.",False
"Aaron and his brother Carson each saved up $40 to go to dinner. The bill is 3/4 of their total money. After, they go out for ice cream. Each scoop costs $1.5 and they get the same amount as each other. If they leave with $1 in change each, how many scoops did they each buy?",6.0,"Aaron and Carson each have $40 to spend. 3/4 of their total money is $60, so they spend $60 on dinner. After dinner, they have $20 left to spend on ice cream. Each scoop costs $1.5, so they can buy a total of 13 scoops. Since they get the same amount, they each buy 6 scoops and have $1 in change each.",4.0,"Aaron and Carson each have $40, so their total is $80. 3/4 of $80 is $60, which is the cost of dinner. After dinner, they have $20 left. Since each scoop of ice cream costs $1.5, they can each buy 4 scoops and have $1 in change each.",candidate_1,"Candidate 1 is the best answer because it is the most accurate. Aaron and Carson each have $40, so their total is $80. 3/4 of $80 is $60, which is the cost of dinner. After dinner, they have $20 left. Since each scoop of ice cream costs $1.5, they can each buy 4 scoops and have $1 in change each.",True
"Simon has 20% more legos than Bruce, who has 20 more than Kent.  If Kent has 40 legos, how many does Simon have?",72.0,"Kent has 40 legos. Bruce has 20 more than Kent, so Bruce has 60 legos. Simon has 20% more than Bruce, so Simon has 72 legos.",80.0,"Kent has 40 legos. Bruce has 20 more than Kent, so Bruce has 60 legos. Simon has 20% more than Bruce, so Simon has 80 legos.",candidate_1,"Candidate 1 is the best answer because it correctly calculates the number of legos Simon has. 20% of 60 is 12, so Simon has 72 legos (60 + 12).",False
"Gabriel is looking at her marble sets. She sees that in the first set 10% of her marbles are broken. In the second set, 20% of the marbles are broken. The first set contains 50 marbles. The second set contains 60. How many marbles are broken in total?",17.0,"In the first set, 10% of 50 marbles are broken, so 5 marbles are broken. In the second set, 20% of 60 marbles are broken, so 12 marbles are broken. Therefore, in total, 17 marbles are broken.",14.0,"In the first set, 10% of 50 marbles is 5 marbles. In the second set, 20% of 60 marbles is 12 marbles. 5 + 12 = 17 marbles are broken in total.",candidate_1,"Candidate 1 is the best answer because it provides a more accurate calculation. Candidate 1 states that 10% of 50 marbles is 5 marbles, and 20% of 60 marbles is 12 marbles, resulting in a total of 17 marbles broken. Candidate 2 states that 10% of 50 marbles is 5 marbles, and 20% of 60 marbles is 12 marbles, resulting in a total of 14 marbles broken. This is incorrect because 5 + 12 = 17, not 14.",False
"Ivory got four more riddles than Josh did. Taso got twice as many riddles as Ivory did. If Josh has 8 riddles, how many riddles does Taso have?",24.0,Josh has 8 riddles. Ivory has 8 + 4 = 12 riddles. Taso has 12 x 2 = 24 riddles.,16.0,Josh has 8 riddles. Ivory has 8 + 4 = 12 riddles. Taso has 12 x 2 = 24 riddles.,candidate_1,Candidate 1 is the best answer because it correctly states that Taso has 24 riddles. Candidate 2 incorrectly states that Taso has 16 riddles.,False
